      Step     Time          Energy          fmax
FIRE:   54 23:28:02     -477.240817        0.112919
FIRE:   55 23:28:02     -477.241060        0.099118
FIRE:   56 23:28:03     -477.241435        0.074013
FIRE:   57 23:28:03     -477.241785        0.043483
FIRE:   58 23:28:04     -477.242011        0.045465
FIRE:   59 23:28:05     -477.242138        0.054211
FIRE:   60 23:28:05     -477.242272        0.057064
FIRE:   61 23:28:06     -477.242474        0.054963
FIRE:   62 23:28:07     -477.242753        0.046906
FIRE:   63 23:28:07     -477.243000        0.033621
FIRE:   64 23:28:08     -477.243100        0.043787
FIRE:   65 23:28:09     -477.243112        0.041919
FIRE:   66 23:28:09     -477.243133        0.038312
FIRE:   67 23:28:10     -477.243159        0.033233
FIRE:   68 23:28:10     -477.243186        0.027105
FIRE:   69 23:28:11     -477.243210        0.020588
FIRE:   70 23:28:12     -477.243229        0.014761
